"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"1569","困る","be in trouble, have difficulty","困[こま]る","Verb","ケータイをなくして<b> 困[こま]っています</b>。","ケータイをなくして<b>困っています</b>。","I'm in a jam because I lost my cell phone."
"1570","貧乏","poor, poverty","貧乏[びんぼう]","Adjectival Noun","彼[かれ]は 昔[むかし]は<b> 貧乏[びんぼう]</b>だった。","彼は昔は<b>貧乏</b>だった。","He used to be poor."
"1571","カレーライス","curry rice","カレーライス","Noun","子供[こども]は<b>カレーライス</b>が 好[す]きです。","子供は<b>カレーライス</b>が好きです。","Children like curry and rice."
"1572","不幸","unhappiness, misfortune, a death","不幸[ふこう]","Adjectival Noun","彼女[かのじょ]の 家族[かぞく]に<b> 不幸[ふこう]</b>があった。","彼女の家族に<b>不幸</b>があった。","A misfortune befell her family."
"1573","幸せ","happiness, good fortune","幸[しあわ]せ","Adjectival Noun","良[い]い 友達[ともだち]がいて 私[わたし]は<b> 幸[しあわ]せ</b>だ。","良い友達がいて私は<b>幸せ</b>だ。","I'm happy to have good friends."
"1574","塩","salt","塩[しお]","Noun","もうちょっと<b> 塩[しお]</b>を 入[い]れて。","もうちょっと<b>塩</b>を入れて。","Put in a little more salt."
"1575","塩辛い","salty","塩辛[しおから]い","Adjective","海[うみ]の 水[みず]は<b> 塩辛[しおから]い</b>。","海の水は<b>塩辛い</b>。","Sea water is salty."
"1576","キャッシュカード","ATM card","キャッシュカード","Noun","<b>キャッシュカード</b>でお 金[かね]を 下[お]ろした。","<b>キャッシュカード</b>でお金を下ろした。","I took out some money with my ATM card."
"1577","砂糖","sugar","砂糖[さとう]","Noun","コーヒーに<b> 砂糖[さとう]</b>は 入[い]れますか。","コーヒーに<b>砂糖</b>は入れますか。","Do you take sugar in your coffee?"
"1578","規模","scale (big, smallなど), scope","規模[きぼ]","Noun","この 動物園[どうぶつえん]は 日本一[にっぽんいち]の<b> 規模[きぼ]</b>です。","この動物園は日本一の<b>規模</b>です。","This is the largest zoo in Japan."
"1579","農業","agriculture","農業[のうぎょう]","Noun","私[わたし]は<b> 農業[のうぎょう]</b>を 勉強[べんきょう]しています。","私は<b>農業</b>を勉強しています。","I'm studying agriculture."
"1580","濃い","thick, concentrated, dark-colored","濃[こ]い","Adjective","私[わたし]は<b> 濃[こ]い</b> 味[あじ]が 好[す]きだ。","私は<b>濃い</b>味が好きだ。","I like strong tastes."
"1581","イヤリング","earrings","イヤリング","Noun","彼女[かのじょ]はすてきな<b>イヤリング</b>をしている。","彼女はすてきな<b>イヤリング</b>をしている。","She's wearing wonderful earrings."
"1582","薄い","thin, weak, pale","薄[うす]い","Adjective","この 電子辞書[でんし じしょ]はとても<b> 薄[うす]い</b>。","この電子辞書はとても<b>薄い</b>。","This electronic dictionary is very thin."
"1583","厚い","thick, bulky","厚[あつ]い","Adjective","その 辞書[じしょ]はとても<b> 厚[あつ]い</b>。","その辞書はとても<b>厚い</b>。","That dictionary is very thick."
"1584","厚さ","thickness","厚[あつ]さ","Noun","私[わたし]は 板[いた]の<b> 厚[あつ]さ</b>を 測[はか]った。","私は板の<b>厚さ</b>を測った。","I measured the thickness of the board."
"1585","迫る","<!--anki-->approach, draw near,&nbsp;press (sb for st)","迫[せま]る","Verb","締[し]め 切[き]りが<b> 迫[せま]っています</b>。","締め切りが<b>迫っています</b>。","The deadline is approaching."
"1586","ガールフレンド","girlfriend","ガールフレンド","Noun","昔[むかし]は 彼女[かのじょ]のことを<b>ガールフレンド</b>と 言[い]っていました。","昔は彼女のことを<b>ガールフレンド</b>と言っていました。","""We used to call girlfriends """"garufurendo."""""""
"1587","伸びる","get longer, grow, stretch","伸[の]びる","Verb","髪[かみ]がだいぶ<b> 伸[の]びた</b>ね。","髪がだいぶ<b>伸びた</b>ね。","Your hair has grown a lot, hasn't it?"
"1588","引っ越す","move (houses)","引[ひ]っ 越[こ]す","Verb","来月[らいげつ]、 大阪[おおさか]に<b> 引[ひ]っ 越[こ]します</b>。","来月、大阪に<b>引っ越します</b>。","I'll move to Osaka next month."
"1589","越える","go over, go across, go beyond","越[こ]える","Verb","私[わたし]たちは 高[たか]い 山[やま]を<b> 越[こ]えました</b>。","私たちは高い山を<b>越えました</b>。","We went over a tall mountain."
"1590","引っ越し","moving (houses)","引[ひ]っ 越[こ]し","Verbal Noun","去年[きょねん]、<b> 引[ひ]っ 越[こ]し</b>しました。","去年、<b>引っ越し</b>しました。","I moved last year."
"1591","カセットテープ","cassette tape","カセットテープ","Noun","昔[むかし]は<b>カセットテープ</b>を 使[つか]っていました。","昔は<b>カセットテープ</b>を使っていました。","I used to use cassette tapes along time ago."
"1592","追い越す","pass, outdo","追[お]い 越[こ]す","Verb","大[おお]きなトラックが 私[わたし]たちを<b> 追[お]い 越[こ]した</b>。","大きなトラックが私たちを<b>追い越した</b>。","A big truck overtook us."
"1593","上昇","a rise, an increase","上昇[じょうしょう]","Verbal Noun","地球[ちきゅう]の 気温[きおん]は<b> 上昇[じょうしょう]</b>している。","地球の気温は<b>上昇</b>している。","The temperature of the earth is rising."
"1594","改札口","ticket barrier","改札口[かいさつぐち]","Noun","<b> 改札口[かいさつぐち]</b>で 会[あ]いましょう。","<b>改札口</b>で会いましょう。","Let's meet at the ticket gate."
"1595","失礼","impoliteness, bad manners, I beg your parden/Goodbye","失礼[しつれい]","Verbal Noun","ではそろそろ<b> 失礼[しつれい]</b>します。","ではそろそろ<b>失礼</b>します。","Well, it's about time for me to go."
"1596","かゆい","itchy","かゆい","Adjective","背中[せなか]が<b>かゆい</b>です。","背中が<b>かゆい</b>です。","My back itches."
"1597","お礼","thanks, reward, return present","お 礼[れい]","Verbal Noun","彼女[かのじょ]に<b>お 礼[れい]</b>の 手紙[てがみ]を 書[か]きました。","彼女に<b>お礼</b>の手紙を書きました。","I wrote her a thank you letter."
"1598","謝る","apologize","謝[あやま]る","Verb","彼[かれ]は 直[す]ぐに<b> 謝[あやま]りました</b>。","彼は直ぐに<b>謝りました</b>。","He apologized at once."
"1599","注射","shot, injection","注射[ちゅうしゃ]","Verbal Noun","彼[かれ]は<b> 注射[ちゅうしゃ]</b>があまり 好[す]きではありません。","彼は<b>注射</b>があまり好きではありません。","He's not too fond of getting shots."
"1600","程度","degree, extent","程度[ていど]","Noun","この<b> 程度[ていど]</b>の 怪我[けが]なら 大丈夫[だいじょうぶ]です。","この<b>程度</b>の怪我なら大丈夫です。","With an injury of this small extent, she's going to be fine."
"1601","ぐらぐら","wobble","ぐらぐら","Adverb","地震[じしん]で 家[いえ]が<b>ぐらぐら</b>と 揺[ゆ]れた。","地震で家が<b>ぐらぐら</b>と揺れた。","The house shook because of the earthquake."
"1602","誘う","invite, ask out","誘[さそ]う","Verb","彼女[かのじょ]をデートに<b> 誘[さそ]った</b>。","彼女をデートに<b>誘った</b>。","I asked her out on a date."
"1603","導入","introduction, bringing in","導入[どうにゅう]","Verbal Noun","会社[かいしゃ]で 新[あたら]しいシステムを<b> 導入[どうにゅう]</b>した。","会社で新しいシステムを<b>導入</b>した。","A new system was introduced in the company."
"1604","努力","<!--anki-->effort,&nbsp;endeavor","努力[どりょく]","Verbal Noun","もっと<b> 努力[どりょく]</b>しよう。","もっと<b>努力</b>しよう。","Let's try harder."
"1605","怒る","get angry, scold","怒[おこ]る","Verb","彼女[かのじょ]が 嘘[うそ]をついたので、 彼[かれ]は<b> 怒[おこ]った</b>。","彼女が嘘をついたので、彼は<b>怒った</b>。","He was angry because she lied to him."
"1606","ジャム","jam","ジャム","Noun","このイチゴで<b>ジャム</b>を 作[つく]りましょう。","このイチゴで<b>ジャム</b>を作りましょう。","Let's make jam from these strawberries."
"1607","独身","single, unmarried","独身[どくしん]","Noun","私[わたし]の 兄[あに]はまだ<b> 独身[どくしん]</b>です。","私の兄はまだ<b>独身</b>です。","My big brother's still single."
"1608","占める","occupy, hold","占[し]める","Verb","私[わたし]に 届[とど]くメールのうち、 迷惑[めいわく]メールが 7割[ななわり]を<b> 占[し]めている</b>。","私に届くメールのうち、迷惑メールが7割を<b>占めている</b>。","About 70 percent of emails sent to me are junk."
"1609","処理","processing,&nbsp;management<div>(unlike 加工, a new thing is not created)</div>","処理[しょり]","Verbal Noun","事務的[じむてき]な<b> 処理[しょり]</b>に 1週間[いっしゅうかん]かかります。","事務的な<b>処理</b>に1週間かかります。","The administrative processing takes one week."
"1610","紹介","introduction, presentation","紹介[しょうかい]","Verbal Noun","両親[りょうしん]に 彼女[かのじょ]を<b> 紹介[しょうかい]</b>した。","両親に彼女を<b>紹介</b>した。","I introduced my girlfriend to my parents."
"1611","スリッパ","slippers","スリッパ","Noun","<b>スリッパ</b>をはいてください。","<b>スリッパ</b>をはいてください。","Wear slippers please."
"1612","招く","invite, beckon","招[まね]く","Verb","両親[りょうしん]を 食事[しょくじ]に<b> 招[まね]いた</b>。","両親を食事に<b>招いた</b>。","I invited my parents to a meal."
"1613","招待","invitation","招待[しょうたい]","Verbal Noun","高校[こうこう]の 時[とき]の 先生[せんせい]を 結婚式[けっこんしき]に<b> 招待[しょうたい]</b>した。","高校の時の先生を結婚式に<b>招待</b>した。","I invited my high school teacher to the wedding."
"1614","夫婦","husband and wife, married couple","夫婦[ふうふ]","Noun","その<b> 夫婦[ふうふ]</b>はとても 仲[なか]がいい。","その<b>夫婦</b>はとても仲がいい。","That couple gets on very well."
"1615","奥","inner part, the back, inner chamber","奥[おく]","Noun","はさみは 机[つくえ]の<b> 奥[おく]</b>にあった。","はさみは机の<b>奥</b>にあった。","The scissors were at the back of the desk."
"1616","トランプ","(a pack of) cards, (playing) cards","トランプ","Verbal Noun","友達[ともだち]と<b>トランプ</b>をして 遊[あそ]びました。","友達と<b>トランプ</b>をして遊びました。","I played cards with a friend."
"1617","奥さん","(sb's) wife,&nbsp;married lady","奥[おく]さん","Noun","彼[かれ]の<b> 奥[おく]さん</b>はきれいな 方[かた]です。","彼の<b>奥さん</b>はきれいな方です。","His wife is beautiful."
"1618","皆さん","everybody (丁寧語)","皆[みな]さん","Noun","<b> 皆[みな]さん</b>にお 話[はなし]があります。","<b>皆さん</b>にお話があります。","I have something to say to everybody."
"1619","皆様","everyone (敬語)","皆様[みなさま]","Noun","<b> 皆様[みなさま]</b>、こんにちは。","<b>皆様</b>、こんにちは。","Hello everyone."
"1620","誰か","someone","誰[だれ]か","Noun","<b> 誰[だれ]か</b>に 聞[き]いてみてください。","<b>誰か</b>に聞いてみてください。","Please ask someone."
"1621","よろしい","all right (いいの改まった言い方)","よろしい","Adjective","レポートはこれで<b>よろしい</b>ですか。","レポートはこれで<b>よろしい</b>ですか。","Is this all right as a report?"
"1622","国籍","citizenship, nationality","国籍[こくせき]","Noun","私[わたし]は 日本[にほん]<b> 国籍[こくせき]</b>です。","私は日本<b>国籍</b>です。","I'm a Japanese citizen."
"1623","愛","love","愛[あい]","Verbal Noun","彼女[かのじょ]は<b> 愛[あい]</b>をこめて 手紙[てがみ]を 書[か]いた。","彼女は<b>愛</b>をこめて手紙を書いた。","She wrote a loving letter."
"1624","可愛い","cute, charming, sweet","可愛[かわい]い","Adjective","彼女[かのじょ]の 赤[あか]ちゃんは<b> 可愛[かわい]い</b>です。","彼女の赤ちゃんは<b>可愛い</b>です。","Her baby is cute."
"1625","恋人","boyfriend/girlfriend, lover","恋人[こいびと]","Noun","彼[かれ]は<b> 恋人[こいびと]</b>を 失[うしな]った。","彼は<b>恋人</b>を失った。","He lost his girlfriend."
"1626","ラッシュアワー","rush hour","ラッシュアワー","Noun","私[わたし]は<b>ラッシュアワー</b>の 電車[でんしゃ]が 嫌[きら]いです。","私は<b>ラッシュアワー</b>の電車が嫌いです。","I hate rush hour trains."
"1627","誕生日","birthday","誕生日[たんじょうび]","Noun","彼女[かのじょ]の<b> 誕生日[たんじょうび]</b>は 7月16日[しちがつ じゅうろくにち]です。","彼女の<b>誕生日</b>は7月16日です。","Her birthday is July 16th."
"1628","祝日","holiday, festival day","祝日[しゅくじつ]","Noun","5月3日[ごがつ みっか]は<b> 祝日[しゅくじつ]</b>だ。","5月3日は<b>祝日</b>だ。","May 3rd is a holiday."
"1629","お祝い","celebrate","お 祝[いわ]い","Verbal Noun","彼[かれ]の 就職[しゅうしょく]の<b>お 祝[いわ]い</b>をしよう。","彼の就職の<b>お祝い</b>をしよう。","Let's celebrate his new employment."
"1630","夢","dream","夢[ゆめ]","Noun","昨夜[ゆうべ] 恐[おそ]ろしい<b> 夢[ゆめ]</b>を 見[み]た。","昨夜恐ろしい<b>夢</b>を見た。","I had a terrible dream last night."
"1631","カップ","cup, cup (measurement)","カップ","Noun","水[みず]を 1[いち]<b>カップ</b> 入[い]れてください。","水を1<b>カップ</b>入れてください。","Please put in one cup of water."
"1632","泣く","cry, weep","泣[な]く","Verb","妹[いもうと]はすぐに<b> 泣[な]く</b>。","妹はすぐに<b>泣く</b>。","My little sister cries easily."
"1633","涙","tear","涙[なみだ]","Noun","彼女[かのじょ]の 目[め]から<b> 涙[なみだ]</b>がこぼれた。","彼女の目から<b>涙</b>がこぼれた。","Tears rolled down from her eyes."
"1634","喜ぶ","be happy, be delighted","喜[よろこ]ぶ","Verb","彼女[かのじょ]はとても<b> 喜[よろこ]びました</b>。","彼女はとても<b>喜びました</b>。","She was very pleased."
"1635","恥ずかしい","embarrassed, ashamed, embarrassing","恥[は]ずかしい","Adjective","とても<b> 恥[は]ずかしかった</b>。","とても<b>恥ずかしかった</b>。","It was very embarrassing."
"1636","スケート","skate, skates","スケート","Noun","湖[みずうみ]で<b>スケート</b>をした。","湖で<b>スケート</b>をした。","We went skating on the lake."
"1637","弁当","box lunch, picnic lunch","弁当[べんとう]","Noun","今日[きょう]は<b> 弁当[べんとう]</b>を 持[も]ってきました。","今日は<b>弁当</b>を持ってきました。","I brought a lunch box today."
"1638","看護師","nurse","看護師[かんごし]","Noun","母[はは]は<b>&nbsp;看護師[かんごし]</b>です。","母は<b>看護師</b>です。","My mother's a nurse."
"1639","患者","patient","患者[かんじゃ]","Noun","<b> 患者[かんじゃ]</b>は 眠[ねむ]っています。","<b>患者</b>は眠っています。","The patient is sleeping."
"1640","述べる","express (opinion), state, mention","述[の]べる","Verb","上司[じょうし]が 意見[いけん]を<b> 述[の]べた</b>。","上司が意見を<b>述べた</b>。","Our boss gave us his opinion."
"1641","たくさん","in large quantity, plenty","たくさん","Adverb","昨日[きのう]は<b>たくさん</b> 泳[およ]ぎました。","昨日は<b>たくさん</b>泳ぎました。","I swam a lot yesterday."
"1642","訴える","sue","訴[うった]える","Verb","彼女[かのじょ]は 会社[かいしゃ]を<b> 訴[うった]えた</b>。","彼女は会社を<b>訴えた</b>。","She sued the company."
"1643","迷う","hesitate, get lost, be unable to decide","迷[まよ]う","Verb","道[みち]に<b> 迷[まよ]いました</b>。","道に<b>迷いました</b>。","I lost my way."
"1644","迷惑","trouble, annoyance","迷惑[めいわく]","Verbal Noun","人[ひと]に<b> 迷惑[めいわく]</b>をかけてはいけません。","人に<b>迷惑</b>をかけてはいけません。","You shouldn't cause trouble for other people."
"1645","地域","region, area","地域[ちいき]","Noun","この<b> 地域[ちいき]</b>は 雨[あめ]が 多[おお]い。","この<b>地域</b>は雨が多い。","There's a lot of rain in this region."
"1646","ピクニック","picnic","ピクニック","Noun","今日[きょう]は<b>ピクニック</b>に 行[い]きましょう。","今日は<b>ピクニック</b>に行きましょう。","Let's go on a picnic today."
"1647","政権","political power, government, administration","政権[せいけん]","Noun","<b> 政権[せいけん]</b>が 交代[こうたい]した。","<b>政権</b>が交代した。","There was a regime change."
"1648","贈る","offer, give (presentとか)","贈[おく]る","Verb","母[はは]に 花[はな]を<b> 贈[おく]った</b>。","母に花を<b>贈った</b>。","I sent my mother some flowers."
"1649","贈り物","present, gift (和語)","贈[おく]り 物[もの]","Noun","すてきな<b> 贈[おく]り 物[もの]</b>をどうもありがとう。","すてきな<b>贈り物</b>をどうもありがとう。","Thank you for the wonderful present."
"1650","与える","&nbsp;present (st), give (damage/shock), give (to lower status) (かたい)","与[あた]える","Verb","そのニュースは 彼[かれ]に 大[おお]きなショックを<b> 与[あた]えた</b>。","そのニュースは彼に大きなショックを<b>与えた</b>。","The news gave him a great shock."
"1651","あちら","way over there","あちら","Noun","<b>あちら</b>に 行[い]ってみよう。","<b>あちら</b>に行ってみよう。","Let's go that way."
"1652","貯金","savings, deposit","貯金[ちょきん]","Verbal Noun","<b> 貯金[ちょきん]</b>は 十分[じゅうぶん]にあります。","<b>貯金</b>は十分にあります。","I have enough savings."
"1653","預ける","deposit, entrust","預[あず]ける","Verb","鍵[かぎ]を 彼[かれ]に<b> 預[あず]けた</b>。","鍵を彼に<b>預けた</b>。","I gave him the key to look after."
"1654","預かる","keep (st) for (sb); take care of (st)","預[あず]かる","Verb","荷物[にもつ]を<b> 預[あず]かって</b>ください。","荷物を<b>預かって</b>ください。","Please take care of the luggage."
"1655","得意","one's forte, pride, frequent customer","得意[とくい]","Adjectival Noun","彼[かれ]は 歌[うた]が<b> 得意[とくい]</b>です。","彼は歌が<b>得意</b>です。","He's good at singing."
"1656","どきどき","feel excited, feel nervous","どきどき","Adverb","彼女[かのじょ]に 会[あ]うと<b>どきどき</b>します。","彼女に会うと<b>どきどき</b>します。","I feel nervous when I meet her."
"1657","燃える","burn が","燃[も]える","Verb","山[やま]が<b> 燃[も]えています</b>。","山が<b>燃えています</b>。","The mountain's on fire."
"1658","焼ける","burn, be grilled, be baked が","焼[や]ける","Verb","肉[にく]が<b> 焼[や]けました</b>。","肉が<b>焼けました</b>。","The meat is cooked."
"1659","すき焼き","sukiyaki","すき 焼[や]き","Noun","昨日[きのう]の 夜[よる]は<b>すき 焼[や]き</b>を 食[た]べた。","昨日の夜は<b>すき焼き</b>を食べた。","I had sukiyaki last night."
"1660","焼く","burn (st), grill, bake を","焼[や]く","Verb","今[いま]、 魚[さかな]を<b> 焼[や]いています</b>。","今、魚を<b>焼いています</b>。","I'm grilling fish now."
"1661","まあまあ","OK, not bad, average","まあまあ","Adjective","彼[かれ]の 成績[せいせき]は<b>まあまあ</b>です。","彼の成績は<b>まあまあ</b>です。","His results are so-so."
"1662","乾く","(st) drys, gets dry (が)","乾[かわ]く","Verb","夏[なつ]は 洗濯物[せんたくもの]がすぐ<b> 乾[かわ]く</b>。","夏は洗濯物がすぐ<b>乾く</b>。","Laundry dries quickly in summer."
"1663","乾杯","a toast","乾杯[かんぱい]","Verbal Noun","お 二人[ふたり]の 未来[みらい]に<b> 乾杯[かんぱい]</b>しましょう。","お二人の未来に<b>乾杯</b>しましょう。","Let's drink a toast to the couple's future."
"1664","乾かす","dry (st) を","乾[かわ]かす","Verb","ぬれた 服[ふく]を<b> 乾[かわ]かした</b>。","ぬれた服を<b>乾かした</b>。","I dried the wet clothes."
"1665","新幹線","Shinkansen, Bullet Train","新幹線[しんかんせん]","Noun","<b> 新幹線[しんかんせん]</b>で 京都[きょうと]に 行[い]きました。","<b>新幹線</b>で京都に行きました。","I went to Kyoto by bullet train."
"1666","マフラー","scarf, muffler","マフラー","Noun","彼女[かのじょ]は 首[くび]に<b>マフラー</b>をまいていた。","彼女は首に<b>マフラー</b>をまいていた。","She was wearing a scarf around her neck."
"1667","素晴らしい","splendid, excellent","素晴[すば]らしい","Adjective","<b> 素晴[すば]らしい</b> 景色[けしき]ですね。","<b>素晴らしい</b>景色ですね。","This is wonderful scenery."
"1668","海岸","coast, seashore","海岸[かいがん]","Noun","<b> 海岸[かいがん]</b>を 散歩[さんぽ]しましょう。","<b>海岸</b>を散歩しましょう。","Let's take a walk along the coast."
"1669","家庭","home, family","家庭[かてい]","Noun","彼[かれ]は<b> 家庭[かてい]</b>を 大切[たいせつ]にしている。","彼は<b>家庭</b>を大切にしている。","He values his family."
"1670","庭","garden, court","庭[にわ]","Noun","<b> 庭[にわ]</b>にバラを 植[う]えました。","<b>庭</b>にバラを植えました。","I planted a rose in the garden."
"1671","アクセサリー","accessories, jewelry","アクセサリー","Noun","この<b>アクセサリー</b>は 素敵[すてき]ね。","この<b>アクセサリー</b>は素敵ね。","This jewelry is lovely."
"1672","桜","cherry tree, cherry blossom","桜[さくら]","Noun","<b> 桜[さくら]</b>は 三月[さんがつ]か 四月[しがつ]に 咲[さ]きます。","<b>桜</b>は三月か四月に咲きます。","Cherry blossoms bloom in March or April."
"1673","咲く","bloom, blossom","咲[さ]く","Verb","桜[さくら]の 花[はな]が<b> 咲[さ]きました</b>。","桜の花が<b>咲きました</b>。","The cherry blossoms have bloomed."
"1674","吹く","blow, play on a wind instrument","吹[ふ]く","Verb","今日[きょう]は 北風[きたかぜ]が<b> 吹[ふ]いている</b>。","今日は北風が<b>吹いている</b>。","The north wind is blowing today."
"1675","散歩","walk, stroll","散歩[さんぽ]","Verbal Noun","私[わたし]のお 祖父[じい]さんは 毎日[まいにち]<b> 散歩[さんぽ]</b>します。","私のお祖父さんは毎日<b>散歩</b>します。","My grandfather takes a walk every day."
"1676","あくび","yawn","あくび","Verbal Noun","父[ちち]が<b>あくび</b>をした。","父が<b>あくび</b>をした。","My father yawned."
"1677","植える","plant (a plant), embed","植[う]える","Verb","庭[にわ]にバラを<b> 植[う]えました</b>。","庭にバラを<b>植えました</b>。","I planted a rose in the garden."
"1678","屋根","roof","屋根[やね]","Noun","<b> 屋根[やね]</b>にカラスが 止[と]まっています。","<b>屋根</b>にカラスが止まっています。","There's a crow on the roof."
"1679","黒板","blackboard","黒板[こくばん]","Noun","答[こた]えを<b> 黒板[こくばん]</b>に 書[か]いてください。","答えを<b>黒板</b>に書いてください。","Please write the answer on the blackboard."
"1680","掲示板","notice board, bulletin board","掲示板[けいじばん]","Noun","<b> 掲示板[けいじばん]</b>のお 知[し]らせを 見[み]ましたか。","<b>掲示板</b>のお知らせを見ましたか。","Did you see the notice on the bulletin board?"
"1681","からから","thirsty, dry","からから","Adjective","おしゃべりして 喉[のど]が<b>からから</b>になりました。","おしゃべりして喉が<b>からから</b>になりました。","My throat got dry from chatting."
"1682","草","grass, weed","草[くさ]","Noun","庭[にわ]に<b> 草[くさ]</b>が 生[は]えている。","庭に<b>草</b>が生えている。","Weeds are growing in the garden."
"1683","葉","leaf","葉[は]","Noun","これは 桜[さくら]の<b> 葉[は]</b>です。","これは桜の<b>葉</b>です。","This is a cherry tree leaf."
"1684","絵葉書","picture postcard","絵葉書[えはがき]","Noun","友達[ともだち]から<b> 絵葉書[えはがき]</b>が 届[とど]きました。","友達から<b>絵葉書</b>が届きました。","I received a picture postcard from a friend."
"1685","はがき","postcard","はがき","Noun","家族[かぞく]に<b>はがき</b>を 書[か]いています。","家族に<b>はがき</b>を書いています。","I'm writing a postcard to my family."
"1686","ふらふら","dizzy, weak","ふらふら","Adverb","私[わたし]は 疲[つか]れて<b>ふらふら</b>です。","私は疲れて<b>ふらふら</b>です。","I'm tired and feel dizzy."
"1687","吸う","inhale, suck","吸[す]う","Verb","彼[かれ]は 大[おお]きく 息[いき]を<b> 吸[す]った</b>。","彼は大きく息を<b>吸った</b>。","He took a deep breath."
"1688","普及","spreading, becoming popular","普及[ふきゅう]","Verbal Noun","ゴミのリサイクルが<b> 普及[ふきゅう]</b>している。","ゴミのリサイクルが<b>普及</b>している。","Garbage recycling has become widespread."
"1689","胃","stomach","胃[い]","Noun","昨日[きのう]から<b> 胃[い]</b>が 痛[いた]い。","昨日から<b>胃</b>が痛い。","I've had a stomach ache since yesterday."
"1690","皿","plate, counter for plates or servings","皿[さら]","Noun","<b> 皿[さら]</b>にケーキを 載[の]せました。","<b>皿</b>にケーキを載せました。","I put the cake on the plate."
"1691","こぼす","spill (st)","こぼす","Verb","ソファにワインを<b>こぼした</b>。","ソファにワインを<b>こぼした</b>。","I spilt wine on the sofa."
"1692","血","blood","血[ち]","Noun","<b> 血[ち]</b>が 出[で]ていますよ。","<b>血</b>が出ていますよ。","You're bleeding."
"1693","内容","contents","内容[ないよう]","Noun","この 本[ほん]の<b> 内容[ないよう]</b>を 説明[せつめい]してください。","この本の<b>内容</b>を説明してください。","Please explain the content of this book."
"1694","背景","background, scenery, setting","背景[はいけい]","Noun","事件[じけん]の<b> 背景[はいけい]</b>に 何[なに]があったのだろう。","事件の<b>背景</b>に何があったのだろう。","I wonder what was behind the incident."
"1695","骨","bone, frame","骨[ほね]","Noun","彼[かれ]は 足[あし]の<b> 骨[ほね]</b>を 折[お]りました。","彼は足の<b>骨</b>を折りました。","He broke a bone in his foot."
"1696","ランチ","lunch","ランチ","Noun","一緒[いっしょ]に<b>ランチ</b>に 行[い]きませんか。","一緒に<b>ランチ</b>に行きませんか。","Do you want to go to lunch together?"
"1697","滑る","slide, slip, flunk an examination","滑[すべ]る","Verb","彼[かれ]は 雪[ゆき]の 上[うえ]を<b> 滑[すべ]った</b>。","彼は雪の上を<b>滑った</b>。","He slipped on the snow."
"1698","折れる","snap/break, be folded, give in (to)","折[お]れる","Verb","強風[きょうふう]で 木[き]の 枝[えだ]が<b> 折[お]れた</b>。","強風で木の枝が<b>折れた</b>。","The tree branch broke in the strong wind."
"1699","折る","break off, fold, bend","折[お]る","Verb","祖父[そふ]は 足[あし]の 骨[ほね]を<b> 折[お]りました</b>。","祖父は足の骨を<b>折りました</b>。","My grandfather broke a bone in his foot."
"1700","健康","healthy","健康[けんこう]","Adjectival Noun","私[わたし]は<b> 健康[けんこう]</b>な 生活[せいかつ]を 送[おく]っています。","私は<b>健康</b>な生活を送っています。","I'm living a healthy lifestyle."
"1701","レシート","receipt","レシート","Noun","<b>レシート</b>を 財布[さいふ]に 入[い]れました。","<b>レシート</b>を財布に入れました。","I put the receipt in my wallet."
"1702","珍しい","unusual, rare, strange","珍[めずら]しい","Adjective","昨日[きのう]<b> 珍[めずら]しい</b> 果物[くだもの]を 食[た]べました。","昨日<b>珍しい</b>果物を食べました。","I ate some unusual fruit yesterday."
"1703","撮る","take (a picture), film (a video)","撮[と]る","Verb","写真[しゃしん]をたくさん<b> 撮[と]りました</b>。","写真をたくさん<b>撮りました</b>。","I took a lot of photographs."
"1704","再び","again, a second time (somewhat formal)","再[ふたた]び","Adverb","彼[かれ]は<b> 再[ふたた]び</b>ここに 戻[もど]ってきた。","彼は<b>再び</b>ここに戻ってきた。","He came back here once again."
"1705","再来年","the year after next","再来年[さらいねん]","Noun","次[つぎ]のオリンピックは<b> 再来年[さらいねん]</b>です。","次のオリンピックは<b>再来年</b>です。","The next Olympics are the year after next."
"1706","チョーク","chalk","チョーク","Noun","<b>チョーク</b>で 黒板[こくばん]に 字[じ]を 書[か]きました。","<b>チョーク</b>で黒板に字を書きました。","I wrote letters on the blackboard with chalk."
"1707","再来月","the month after next","再来月[さらいげつ]","Noun","<b> 再来月[さらいげつ]</b>まで 予約[よやく]で 一杯[いっぱい]です。","<b>再来月</b>まで予約で一杯です。","They're fully booked until the month after the next."
"1708","再来週","the week after next","再来週[さらいしゅう]","Noun","<b> 再来週[さらいしゅう]</b>は 忙[いそが]しいです。","<b>再来週</b>は忙しいです。","I'll be busy the week after next."
"1709","放送","broadcasting","放送[ほうそう]","Verbal Noun","その 番組[ばんぐみ]は 来週[らいしゅう]<b> 放送[ほうそう]</b>されます。","その番組は来週<b>放送</b>されます。","The program will be broadcast next week."
"1710","装置","equipment, device","装置[そうち]","Noun","実験[じっけん]にはこの<b> 装置[そうち]</b>を 使[つか]います。","実験にはこの<b>装置</b>を使います。","We use this device in our experiments."
"1711","ティッシュ","tissue","ティッシュ","Noun","<b>ティッシュ</b>を 取[と]ってください。","<b>ティッシュ</b>を取ってください。","Please pass me the tissues."
"1712","仮名","kana, Japanese syllabary","仮名[かな]","Noun","お 名前[なまえ]に<b> 仮名[かな]</b>を 振[ふ]ってください。","お名前に<b>仮名</b>を振ってください。","Please write the pronunciation of your name in kana."
